artigoEmPeriodico	Andre Luiz Sena Mariano	2022	2176-4360	http://dx.doi.org/10.31639/rbpfp.v14i29.504	O desenvolvimento profissional docente em diálogo com as concepções teóricas de pierre bourdieu: a constituição do habitus profissional no ensino de história	FORMAÇÃO DOCENTE	SENA MARIANO, ANDRÉ LUIZ; LOPES DE FREITAS, LEONARDO	B1	FORMAÇÃO@DOCENTE
artigoEmPeriodico	Andre Luiz Sena Mariano	2022	1981-8106	http://dx.doi.org/10.18675/1981-8106.v32.n.65.s16553	O início da docência em pesquisas brasileiras: reflexões e apontamentos	EDUCAÇÃO: TEORIA E PRÁTICA	MARIANO, ANDRÉ LUIZ SENA	Qualis nao identificado	EDUCAÇÃO: TEORIA E PRÁTICA
artigoEmPeriodico	Andre Luiz Sena Mariano	2022	2359-2842	http://dx.doi.org/10.46312/pem.v15i39.15977	Pensando numa Lógica Outra a Educação Matemática nos Cursos de Pedagogia	PERSPECTIVAS DA EDUCAÇÃO MATEMÁTICA	JULIO, R. S. ; MARIANO, A. L. S. ; SILVA, S. I. S.	A2	
artigoEmPeriodico	Andre Luiz Sena Mariano	2022	2764-0604		A CAPES e a Pós-Graduação no Brasil: a reconfiguração do campo universitário a partir da pesquisa e da pós-graduação	Indagações em Educação	MARIANO, A. L. S.; PEREIRA, T. B.	Qualis nao identificado	INDAGAÇÕES EM EDUCAÇÃO
artigoEmPeriodico	Andre Luiz Sena Mariano	2021	1516-5477	http://dx.doi.org/10.4025/notandum.vi57.59330	Formação Docente e o Programa de Residência Pedagógica: algumas reflexões	NOTANDUM (USP)	MARIANO, A. L. S.; SOUZA, A. C. G. A.	Qualis nao identificado	NOTANDUM (USP)
artigoEmPeriodico	Andre Luiz Sena Mariano	2019	2178-5201	http://dx.doi.org/10.4025/actascieduc.v41i1.36839	História do currículo do curso de Pedagogia da UNESP de Araraquara (1959-2006)	ACTA SCIENTIARUM. EDUCATION (ONLINE)	MARIANO, A. L. S	Qualis nao identificado	ACTA SCIENTIARUM. EDUCATION (ONLINE)
artigoEmPeriodico	Andre Luiz Sena Mariano	2019	1413-0963		Contribuições de Pierre Bourdieu para a análise da movimentação das elites escolares em regiões interioranas	INTERMEIO (UFMS)	MARIANO, A. L. S.; LOPES, G. B.	Qualis nao identificado	INTERMEIO (UFMS)
artigoEmPeriodico	Andre Luiz Sena Mariano	2019	2238-6084		Sejamos todos feministas: homens conversando com estudantes sobre posturas feministas na formação docente	REVISTA EDUCAÇÃO E LINGUAGENS	MARIANO, A. L. S.; RIBEIRO, D. D.	Qualis nao identificado	REVISTA EDUCAÇÃO E LINGUAGENS
artigoEmPeriodico	Andre Luiz Sena Mariano	2018	2176-7912		A presença de Raymond Williams em pesquisas da área de educação: um olhar a partir das regiões sul e sudeste	Revista do NUPEM	MARIANO, A. L. S.; ANJOS, L. C. S.	Qualis nao identificado	REVISTA DO NUPEM
artigoEmPeriodico	Andre Luiz Sena Mariano	2018	1809-5747	http://dx.doi.org/10.20500/rce.v13i26.15005	Pensando a educação escolar a partir de Williams e Bourdieu	REVISTA CONTEMPORÂNEA DE EDUCAÇÃO	MARIANO, A. L. S.; LOPES, G. B.	A4	
artigoEmPeriodico	Andre Luiz Sena Mariano	2018	2176-4360	http://dx.doi.org/10.31639/rbpfp.v10i18.195	Grupo de estudos em Intermulticulturalidade e Formação de Professores(as)	FORMAÇÃO DOCENTE	DE LIMA, EMÍLIA FREITAS ; MARIANO, ANDRÉ LUIZ SENA	B1	FORMAÇÃO@DOCENTE
artigoEmPeriodico	Andre Luiz Sena Mariano	2017	1982-5587	http://dx.doi.org/10.21723/riaee.v12.n2.8390	A docência ontem e hoje entre o ser amado e o ser temido: a questão da autoridade	REVISTA IBERO-AMERICANA DE ESTUDOS EM EDUCAÇÃO	MESSIAS, ELVIS REZENDE ; MARIANO, ANDRÉ LUIZ SENA	A1	
artigoEmPeriodico	Andre Luiz Sena Mariano	2017	2177-1626		A dimensão intelectual do trabalho docente e o lugar do conhecimento escolar: do intelectual transformador à pedagogia histórico-crítica	PESQUISEDUCA	MARIANO, A. L. S.; LIMA, Emília Freitas de	Qualis nao identificado	PESQUISEDUCA
artigoEmPeriodico	Andre Luiz Sena Mariano	2017	1676-2584	http://dx.doi.org/10.20396/rho.v17i4.8645844	Os métodos de ensino, currículo e a profissionalização docente: quais relações?	Revista HISTEDBR On-line	MARIANO, ANDRÉ LUIZ SENA	Qualis nao identificado	REVISTA HISTEDBR ON-LINE
